Reviews,Dates
"temperature issue , beeping,",24 September 2019
Very nice items I'm so happy.,24 September 2019
"It's a very Good product, thank you Amazon Team.",24 September 2019
Very good product on this price.,23 September 2019
Good purchase and happy to have purchased,23 September 2019
Good product,22 September 2019
Very good product at this range.,21 September 2019
As of now I haven't found any problem with the item...let's c how long will it go...,21 September 2019
Good,20 September 2019
Good,19 September 2019
The induction stove stopped working just after 12 days,19 September 2019
Value for money,18 September 2019
Time setting not working,18 September 2019
Worthy and must have,18 September 2019
Amazon my fevarite network but delivery men careless arder pes demage.amazon.....qwality broduct all idems,18 September 2019
Superb convenience!,18 September 2019
Good product,17 September 2019
Good,17 September 2019
Better quality with less price.One of the best product which you can get in this price categoryTemperature Control is GoodEasy to CleanUser friendly as well.,16 September 2019
Worst product fuse gets switched off everytime when it gets on,16 September 2019
Good,15 September 2019
Not even opened the package but could understand something is broken. Was delighted that delivery was fast but broken.,15 September 2019
Excellent,15 September 2019
"Good product, good seller",15 September 2019
Superb product its very useful...,14 September 2019
Looking very nice and easy to use thanks.,14 September 2019
Worst experience..  I want to return or replace the product... .  Waste of money,14 September 2019
"Good product nice product from amazon, good and better condition no problem",14 September 2019
I am pretty happy with the product. It is easy to use and quite good overall.,14 September 2019
Highly disatisfied. Received a defective product. Got the product replaced and again received a defective product showing the same error. First time had such a bad experience with Amazon.,14 September 2019
Nice product,14 September 2019
NEW PRESTIGE 1200W INDUCTION COOKWARE ITS NOT GETTING SWITCHED ON.FLICKERING OF LED LIGHTS ARE AWSOME RATHER THAN THAT I WOULD SAY I WAS CHEATED.PLEASE DO ATLEASTTHE PRELIMINARY TESTS ON SUCH ELECTRONIC APPLIANCES.DONT ENTRUST YOUR UNWANTED AND REJECTED PIECES ON TO CUSTOMERS HEADS.,14 September 2019
Good quality,13 September 2019
Must buy,13 September 2019
Asm,13 September 2019
Poor product for handling,13 September 2019
Stopped working within a week. Worst purchase.,12 September 2019
Amazing!,12 September 2019
God..not very good..only God,12 September 2019
Good,12 September 2019
Super product. Thank u amazon.,12 September 2019
Good as a work,11 September 2019
good,11 September 2019
Not recommend product,11 September 2019
This product is very easy to use and the electricity bill also low. I like this,11 September 2019
I don't know why I got this damaged product...I m returning it now..,11 September 2019
Berry nice,11 September 2019
Got the broken product and has to return it,11 September 2019
Nice. Product,10 September 2019
Excellent,10 September 2019
Nothing useful in this item,10 September 2019
It's nice one and I have used it before also,10 September 2019
Good product,10 September 2019
Love the product,10 September 2019
Ok,9 September 2019
"It's good ,easy to use and clean",9 September 2019
"Cracked surface, Worked for 10 days now  not working",9 September 2019
Beautiful product to use... easy handling. .low power consumption. ..u can coock rice in 8 minutes,9 September 2019
Best product by prestige. Value for money. I am reviewing this product after 1 year use and it is awesome,9 September 2019
worst,9 September 2019
Easy to use,9 September 2019
One of the worst product... After just 1.5 months...e1 error is coming,9 September 2019
Nice product...using from last 3 months...working fine without any issue...,8 September 2019
Very poor product,8 September 2019
Good,8 September 2019
Soo nice and easy to use,8 September 2019
Good,8 September 2019
Damaged worst,8 September 2019
Good one,8 September 2019
Reliable,8 September 2019
Product received was broken,7 September 2019
Good product,6 September 2019
Nice,6 September 2019
One of the buttons didn't work. Faulty product.,6 September 2019
worked well only for a week and stopped working after that,6 September 2019
Very nice product,6 September 2019
It is not workingHow can I claim the warranty?,5 September 2019
Not work induction stove I am complaint Prestige customer care centre complaint date 26 November 2019complaint number VIJ1097210I am complaining 12 days but not solve Prestige servicing centre is bad,5 September 2019
It's very easy to operate and clean. Your cooking can be very fast compared to gas oven. You can easily control temperature with control panel.,5 September 2019
Easy to use,4 September 2019
Perfect product for everyone.....easy to use... easy to clean n temperature control is too good.....,4 September 2019
"The product stops while working  ,Bad quality.Duplicate product",4 September 2019
Good,4 September 2019
The product Which I bought is totally damaged.,4 September 2019
Sometimes temperatures is high and low.,3 September 2019
It's superb ...,3 September 2019
"Although I mostly used this for light cooking during my hostel days, It is a very good option if you are living out of house for job/study and would like to do some sort of light cooking.. Highly Recommended.",3 September 2019
Useful and delivery timing/packing very good,3 September 2019
Bought this for emergency use if gas gets over but now we are using often and it is very much easy to use,2 September 2019
Very good temperature is obtained and quality is also good.,2 September 2019
Very much disappointed,2 September 2019
Product is very nice. But control panel and temprature display should be heat protected. Overall product is very gud.,1 September 2019
